text,label
"This movie was amazing! I loved every minute of it.",1
"Terrible service and the food was cold.",0
"The product arrived damaged and customer service was unhelpful.",0
"Great experience overall, highly recommend!",1
"The new update makes the app much easier to use.",1
"Battery life is disappointing, only lasts a few hours.",0
"I can't believe how good this is, exceeded my expectations!",1
"Waste of money, don't buy this product.",0
"The staff was friendly and very accommodating.",1
"Slow shipping and the item wasn't as described.",0